track,model,scope,mode,n_bets,bet_rate,mean_odds,mean_edge,strike_rate,flat_roi,flat_roi_lo,flat_roi_hi,flat_profit_units,kelly_roi,kelly_roi_lo,kelly_roi_hi,mean_clv,positive_clv_rate
market_aware,catboost,walk_forward,absolute,4305,0.4878739800543971,5.192764227642276,0.08184555041389663,0.2894308943089431,-0.03059465737514519,-0.08976591173054586,0.029669396051103327,-131.71000000000004,-0.02387430717547119,-0.07683251657427927,0.031477500803849166,-0.02120838702572291,0.4091542750929368
market_aware,catboost,walk_forward,relative,3147,0.35664097914777876,6.271855735621227,0.08779498988561411,0.2259294566253575,-0.030794407372100416,-0.1124422465840483,0.047314585319351704,-96.91000000000001,-0.02803065990003113,-0.10141810938342583,0.0404653812751987,-0.028063137285109833,0.3884297520661157
market_aware,catboost,holdout,absolute,637,0.3688477127967574,4.045211930926217,0.07467394050324065,0.36577708006279436,-0.03291993720565151,-0.1470521978021978,0.09642268445839873,-20.970000000000013,-0.012591993804122993,-0.11919244278951623,0.09550009666789558,-0.01150735125968943,0.41812865497076024
market_aware,catboost,holdout,relative,342,0.19803126809496235,5.689649122807017,0.08117925739813388,0.25146198830409355,-0.09985380116959064,-0.28603581871345024,0.1167295321637427,-34.15,-0.035205150756956065,-0.2135801232780959,0.15906733413073126,-0.018029894394207824,0.4329896907216495
market_aware,catboost_tuned,walk_forward,absolute,2429,0.275271985494107,6.045895430218197,0.06629174109594883,0.31247426924660354,-0.01624125154384521,-0.09957606010703994,0.07846737340469326,-39.45000000000002,-0.019987324574686174,-0.08914469207702196,0.055727706305917404,-0.034416429336929066,0.35790774299835254
market_aware,catboost_tuned,walk_forward,relative,1319,0.14947869446962828,9.283487490523123,0.06887935288285736,0.17513267626990145,0.0002956785443517821,-0.1485058756633813,0.15493764215314632,0.39000000000000057,-0.015128241904374038,-0.15553259978873285,0.1303390451773204,-0.04663848020256603,0.34495830174374525
market_aware,catboost_tuned,holdout,absolute,421,0.24377533294730747,4.677149643705463,0.06601586294127432,0.37054631828978624,-0.16726840855106886,-0.3045154394299287,-0.025494061757719812,-70.41999999999999,-0.10387873777107516,-0.23131565930954584,0.028619133879008753,-0.01913448609320488,0.4019138755980861
market_aware,catboost_tuned,holdout,relative,132,0.07643312101910828,10.397196969696969,0.06857399035963331,0.12121212121212122,-0.4566666666666666,-0.779342803030303,-0.06647159090909116,-60.279999999999994,-0.2935696325626305,-0.6654352839833746,0.10848720883456771,-0.053532090020392026,0.35294117647058826
market_aware,lightgbm,walk_forward,absolute,7012,0.7946509519492294,5.312133485453509,0.1031840334276067,0.23630918425556188,-0.0472846548773531,-0.09345293782087849,0.00314118653736448,-331.55999999999995,-0.050746095359199966,-0.09998725451101322,0.0009366053470224676,-0.018999375782250093,0.3978310502283105
market_aware,lightgbm,walk_forward,relative,6138,0.6956029011786038,5.720720104268491,0.10863279755002016,0.2078853046594982,-0.056132290648419694,-0.10899841153470184,-0.0020712365591398253,-344.5400000000001,-0.05811352125828381,-0.11327777163115416,-0.0008141721484583031,-0.021403134682273364,0.39077274209325075
market_aware,lightgbm,holdout,absolute,1163,0.6734221192819919,4.417824591573517,0.09256937243668575,0.26827171109200343,-0.06857265692175409,-0.17192282889079963,0.03431169389509872,-79.75,-0.07413832242696658,-0.1794033501225539,0.02998793176289495,-0.014031386855300223,0.38205980066445183
market_aware,lightgbm,holdout,relative,969,0.5610885929357267,4.840485036119711,0.09803257703887507,0.22910216718266255,-0.08665634674922601,-0.20812280701754388,0.04472936016511849,-83.97,-0.08235591400834273,-0.20396351692317308,0.05081680206733252,-0.017216133468159915,0.3603238866396761
market_aware,lightgbm_tuned,walk_forward,absolute,6293,0.7131686310063463,5.198093119338949,0.09529378757378842,0.25027808676307006,-0.020804068012076918,-0.07021945018274273,0.031402828539647216,-130.92000000000004,-0.026087366705955545,-0.07614197690631429,0.027277616493659763,-0.01757285841998962,0.4078549848942598
market_aware,lightgbm_tuned,walk_forward,relative,5324,0.6033544877606528,5.711038692712246,0.1007625134025835,0.21712997746055598,-0.02103493613824192,-0.07999802779864765,0.03719759579263711,-111.98999999999998,-0.02702339300820791,-0.08804922444017084,0.03409303901528765,-0.020715251258365427,0.3964285714285714
market_aware,lightgbm_tuned,holdout,absolute,900,0.5211349160393747,3.9869111111111115,0.08258034199416439,0.30444444444444446,-0.11374444444444445,-0.20889000000000002,-0.003311666666666719,-102.37,-0.12152263284664362,-0.21826897889280686,-0.013353564373422784,-0.005029838191143106,0.4349680170575693
market_aware,lightgbm_tuned,holdout,relative,657,0.38042848870874346,4.636636225266362,0.08944144314166469,0.228310502283105,-0.18404870624048705,-0.3093371385083714,-0.04405859969558612,-120.92,-0.17777511391772616,-0.3023397131903338,-0.04629892107657703,-0.005777330855961521,0.4301994301994302
market_aware,logistic,walk_forward,absolute,5655,0.6408658204895739,5.006631299734748,0.10229693919870413,0.27038019451812556,-0.04127497789566756,-0.09161878868258179,0.009000353669319179,-233.41000000000003,-0.05101116715464477,-0.10384745922607193,-0.0009655964339039377,-0.011871099652976825,0.43901575500088513
market_aware,logistic,walk_forward,relative,4577,0.5186990027198549,5.630642342145509,0.11104408624808641,0.22722307188114485,-0.05197290801835262,-0.11250660913261963,0.007580128905396539,-237.87999999999997,-0.06227290949422283,-0.12096445300593833,-0.0026707453129084366,-0.016057033009252857,0.4165390505359878
market_aware,logistic,holdout,absolute,662,0.38332368268674,3.850634441087613,0.07481920355377887,0.311178247734139,-0.0992749244712991,-0.2204331570996979,0.023773413897280823,-65.72,-0.06123813113213227,-0.1782648120735657,0.054732221050263895,-0.002161046185065483,0.46408839779005523
market_aware,logistic,holdout,relative,420,0.24319629415170815,4.773071428571429,0.07986812644354901,0.24523809523809523,-0.11126190476190477,-0.27067916666666664,0.07465297619047614,-46.730000000000004,-0.040198940595755094,-0.20424223299013772,0.14389470956489395,-0.002653286833450299,0.4625
market_aware,mlp,walk_forward,absolute,6498,0.736400725294651,5.277762388427209,0.09830047151689815,0.25038473376423515,-0.035423207140658663,-0.0849619113573407,0.014943713450292382,-230.17999999999998,-0.0509154506598416,-0.10165092842659981,-0.0013581069517346167,-0.028049583940427225,0.3650084706607115
market_aware,mlp,walk_forward,relative,5560,0.6300997280145059,5.7695,0.10399993449527878,0.22284172661870505,-0.029505395683453235,-0.08620885791366904,0.029676708633093504,-164.04999999999998,-0.0473793866414697,-0.10159642408474547,0.00927842059641097,-0.03174700127516213,0.35265526552655263
market_aware,mlp,holdout,absolute,1009,0.5842501447596989,4.477819623389494,0.08477514181490353,0.28543111992071357,-0.07145688800792864,-0.17836992071357782,0.03635901883052523,-72.1,-0.0635624288420284,-0.1619418954808267,0.041133651319988265,-0.024572840413732443,0.36608863198458574
market_aware,mlp,holdout,relative,799,0.4626519976838448,5.054906132665832,0.08963386986351665,0.2390488110137672,-0.08732165206508134,-0.21236576971214016,0.042369524405506835,-69.77,-0.08046879812213356,-0.2047928479076998,0.04055138064085456,-0.027855082880557533,0.3605769230769231
market_aware,stacking,walk_forward,absolute,2972,0.4217397474102455,4.723590174966353,0.07867269934292387,0.30989232839838493,-0.06636608344549126,-0.13305484522207267,-0.0010926985195155116,-197.24,-0.046298541570172866,-0.10469227434766473,0.012734052081679062,-0.016597875201251007,0.4099023240148198
market_aware,stacking,walk_forward,relative,2001,0.2839506172839506,5.965727136431784,0.08442815750374949,0.2283858070964518,-0.08466266866566717,-0.1722889805097451,0.009607571214392797,-169.41,-0.05345197531917582,-0.13274012337591867,0.028939242646352923,-0.0267167025516272,0.373
market_aware,stacking,holdout,absolute,635,0.36768963520555875,3.271527559055118,0.07931968258259109,0.38740157480314963,-0.029181102362204725,-0.1341259842519685,0.08661732283464565,-18.53,-0.03756941156322957,-0.13381762829022173,0.06586040394287072,-0.007230391629413328,0.4369747899159664
market_aware,stacking,holdout,relative,346,0.20034742327735958,4.269508670520231,0.09025917792099822,0.2832369942196532,-0.07606936416184973,-0.2538778901734104,0.11100939306358353,-26.320000000000007,-0.06939867426642235,-0.23268447235983336,0.0925887742434535,-0.013051755137353517,0.42857142857142855
market_aware,xgboost,walk_forward,absolute,6215,0.7043291024478694,5.27756234915527,0.09577277981374681,0.26387771520514886,-0.009557522123893809,-0.05981118262268704,0.041574456958970246,-59.40000000000002,-0.015066306585099049,-0.06409146752531264,0.03558323047918101,-0.016820439265744058,0.41854475209272374
market_aware,xgboost,walk_forward,relative,5196,0.5888485947416138,5.856014241724403,0.10163558065503894,0.22382602001539645,-0.019226327944572744,-0.07763712471131638,0.04372324865280984,-99.89999999999998,-0.02311310188206674,-0.07830699020012369,0.0360647533454496,-0.021099360174427702,0.40227228962064315
market_aware,xgboost,holdout,absolute,960,0.555877243775333,4.343208333333333,0.08687138298720841,0.30520833333333336,-0.11562500000000002,-0.20896250000000002,-0.00821588541666669,-111.00000000000001,-0.10637253902979421,-0.19908971452891497,-0.0002658506823719821,-0.007078526364528471,0.4433399602385686
market_aware,xgboost,holdout,relative,705,0.40822235089751013,5.101673758865248,0.09499315715606689,0.23546099290780143,-0.17340425531914896,-0.2938943262411347,-0.0411627659574468,-122.25000000000001,-0.15112041746841012,-0.26986950952757355,-0.02527928796941029,-0.010314135979665738,0.4444444444444444
market_aware,xgboost_tuned,walk_forward,absolute,3545,0.4017452402538531,5.2902172073342735,0.07559897770014136,0.29167842031029617,-0.03356276445698167,-0.10085811001410434,0.03555902679830743,-118.98000000000002,-0.01925005033003453,-0.0744503779455061,0.04101714513336833,-0.02119665271132439,0.42155756207674944
market_aware,xgboost_tuned,walk_forward,relative,2420,0.2742520398912058,6.694657024793387,0.08132246499281771,0.22272727272727272,-0.01639669421487603,-0.11110268595041321,0.07766229338842974,-39.67999999999999,0.006233338302136929,-0.07574664051352872,0.0905269022705119,-0.03029513948683148,0.39189747829681687
market_aware,xgboost_tuned,holdout,absolute,495,0.28662420382165604,4.2939191919191915,0.06737521569281868,0.35555555555555557,-0.13317171717171716,-0.26304090909090905,0.0030944444444444413,-65.92,-0.09725521900875986,-0.21731553160090433,0.02262360404877341,-0.00637640347579298,0.44285714285714284
market_aware,xgboost_tuned,holdout,relative,229,0.1325998841922409,6.865589519650655,0.07131065427712442,0.2096069868995633,-0.20847161572052403,-0.44677292576419214,0.04939737991266372,-47.74,-0.15466536779627366,-0.38223975195987686,0.08315498127080939,-0.01605852882775223,0.4326241134751773
market_blind,catboost,walk_forward,absolute,5952,0.6745240253853128,5.109511088709677,0.09351015674912304,0.270497311827957,-0.050984543010752684,-0.10104767305107526,-0.00046148353494624073,-303.46,-0.053787353391599166,-0.10031397680516468,-0.007275314927439258,-0.0370697474807434,0.32235294117647056
market_blind,catboost,walk_forward,relative,4807,0.5447642792384406,5.786361556064073,0.0998871539588128,0.22779280216351155,-0.055086332431870194,-0.11301201372997711,0.004895100894528729,-264.8,-0.05877643286376804,-0.11087981230474858,-0.0022822667231873405,-0.042935561850172485,0.30218522372528617
market_blind,catboost,holdout,absolute,974,0.5639837869137232,4.312885010266941,0.08970719142189709,0.31211498973305957,-0.08455852156057496,-0.1855482546201232,0.008179158110882863,-82.36000000000001,-0.05091213049834325,-0.15519420422720537,0.04726429402721036,-0.03359622346257277,0.2840466926070039
market_blind,catboost,holdout,relative,745,0.43138390272148236,4.966120805369127,0.0966354465755293,0.2536912751677852,-0.12838926174496645,-0.24988020134228192,-0.006831543624161221,-95.65,-0.07529281459012639,-0.1976358577274941,0.051951427926208646,-0.039343503529295824,0.2770780856423174
market_blind,catboost_tuned,walk_forward,absolute,4872,0.5521305530371714,5.146252052545156,0.08677911528357665,0.2883825944170772,-0.06237274220032841,-0.11543129105090312,-0.007070197044334979,-303.88,-0.05727650884520653,-0.10175274739562766,-0.006522784272127875,-0.04675105108570147,0.27145790554414784
market_blind,catboost_tuned,walk_forward,relative,3650,0.41364460562103356,6.12788493150685,0.09311154820028504,0.23013698630136986,-0.0694986301369863,-0.14173287671232873,0.005461164383561506,-253.67,-0.06541456449656545,-0.12635129815385052,-0.002512350988667203,-0.05633886112443905,0.25047958344751986
market_blind,catboost_tuned,holdout,absolute,783,0.45338737695425596,4.5369476372924655,0.08774705264135108,0.3167305236270754,-0.115874840357599,-0.218346104725415,-1.9795657726781275e-05,-90.73000000000002,-0.09262629470046647,-0.19269093887506897,0.020505169682117557,-0.042963924669004554,0.255
