track,model,fold,n,model_log_loss,model_brier,model_accuracy,model_ece,market_log_loss,market_brier,market_accuracy,market_ece,dc_log_loss,dc_brier,dc_accuracy,dc_ece,logloss_gap,dc_logloss_gap
market_aware,lightgbm,holdout_2025,1727,0.9997277712923652,0.596870670358047,0.5159235668789809,0.010041554301763405,0.9783680228797793,0.5826872542899714,0.535031847133758,0.023799513780596252,0.992618361130416,0.5915999797421918,0.5182397220613781,0.023372438265464566,0.02135974841258592,0.014250338250636707
market_aware,lightgbm,wf_2020,1777,1.032883213923487,0.6177537345457683,0.48958919527293193,0.019198525886751437,0.9765613270483494,0.5791191479076425,0.5278559369724254,0.03223673791595938,1.0006994148712456,0.5959506721696751,0.5120990433314575,0.030857624001676173,0.056321886875137506,0.02413808782289617
market_aware,lightgbm,wf_2021,1792,1.0098808791444644,0.6032841340347985,0.5111607142857143,0.03348975840379305,0.9785066157557333,0.5820517151781522,0.5323660714285714,0.020934625849702855,0.9962408851312536,0.5942501171795034,0.5189732142857143,0.015523880084782846,0.03137426338873117,0.017734269375520362
market_aware,lightgbm,wf_2022,1796,0.9993241873834111,0.5966540856722924,0.5217149220489977,0.03173021002182143,0.9780912977839538,0.582448436465031,0.532293986636971,0.01481373148490602,1.002495288869442,0.5979081525966093,0.5194877505567929,0.01993545055080123,0.02123288959945735,0.024403991085488297
market_aware,lightgbm,wf_2023,1727,0.9928054061675201,0.5922805973252726,0.5286624203821656,0.025116050589148814,0.9535814676765557,0.566549758228048,0.5570353213665316,0.02384841744042591,0.9803844106189864,0.5844584300974061,0.5298204979733642,0.019416323584447358,0.039223938490964394,0.026802942942430685
market_aware,lightgbm,wf_2024,1732,0.9908664158133436,0.5903863507024749,0.5254041570438799,0.023099029783194034,0.9597443881497837,0.5701075259732455,0.5479214780600462,0.01616714793551063,0.9842461525005092,0.5861923076130482,0.5282909930715936,0.02364311326144934,0.03112202766355987,0.024501764350725486
market_aware,lightgbm_tuned,holdout_2025,1727,0.9938597694372222,0.5924088424594954,0.5153445280833816,0.02426220559447212,0.9783680228797793,0.5826872542899714,0.535031847133758,0.023799513780596252,0.992618361130416,0.5915999797421918,0.5182397220613781,0.023372438265464566,0.015491746557442898,0.014250338250636707
market_aware,lightgbm_tuned,wf_2020,1777,1.0247834457965412,0.6121582404620176,0.49015194147439506,0.03263718856422964,0.9765613270483494,0.5791191479076425,0.5278559369724254,0.03223673791595938,1.0006994148712456,0.5959506721696751,0.5120990433314575,0.030857624001676173,0.04822211874819182,0.02413808782289617
market_aware,lightgbm_tuned,wf_2021,1792,1.000504383024319,0.5966420090934669,0.5184151785714286,0.045395139701973786,0.9785066157557333,0.5820517151781522,0.5323660714285714,0.020934625849702855,0.9962408851312536,0.5942501171795034,0.5189732142857143,0.015523880084782846,0.02199776726858571,0.017734269375520362
market_aware,lightgbm_tuned,wf_2022,1796,0.9924488773614336,0.5918640401433377,0.5167037861915368,0.028274094567187453,0.9780912977839538,0.582448436465031,0.532293986636971,0.01481373148490602,1.002495288869442,0.5979081525966093,0.5194877505567929,0.01993545055080123,0.014357579577479851,0.024403991085488297
