outcome,bin_lo,bin_hi,n,mean_predicted,observed_rate,source,track,model
D,0.0,0.1,120,0.08435295687873365,0.058333333333333334,market,market_aware,lightgbm
D,0.1,0.2,1445,0.16283283864862896,0.17162629757785466,market,market_aware,lightgbm
D,0.2,0.30000000000000004,6057,0.25909141648528555,0.26432227175169226,market,market_aware,lightgbm
D,0.30000000000000004,0.4,1201,0.3150239871944453,0.3205661948376353,market,market_aware,lightgbm
D,0.4,0.5,1,0.4185511252819258,1.0,market,market_aware,lightgbm
A,0.0,0.1,764,0.07007543817267045,0.08115183246073299,market,market_aware,lightgbm
A,0.1,0.2,1888,0.15320165981306827,0.14565677966101695,market,market_aware,lightgbm
A,0.2,0.30000000000000004,2057,0.2502622226348036,0.2493923189110355,market,market_aware,lightgbm
A,0.30000000000000004,0.4,1592,0.34586993904263763,0.3435929648241206,market,market_aware,lightgbm
A,0.4,0.5,1125,0.44472667521165526,0.47555555555555556,market,market_aware,lightgbm
A,0.5,0.6000000000000001,746,0.5482759275585444,0.5656836461126006,market,market_aware,lightgbm
A,0.6000000000000001,0.7000000000000001,419,0.6455142818404881,0.6801909307875895,market,market_aware,lightgbm
A,0.7000000000000001,0.8,193,0.7435567735735952,0.7616580310880829,market,market_aware,lightgbm
A,0.8,0.9,40,0.8302189618417245,0.775,market,market_aware,lightgbm
H,0.0,0.1,145,0.08592373354444582,0.15172413793103448,model,market_aware,logistic
H,0.1,0.2,921,0.15775109357219777,0.16178067318132464,model,market_aware,logistic
H,0.2,0.30000000000000004,1296,0.2492812169428818,0.25771604938271603,model,market_aware,logistic
H,0.30000000000000004,0.4,1529,0.353886229293785,0.3185088293001962,model,market_aware,logistic
H,0.4,0.5,1865,0.44976798227537607,0.43109919571045574,model,market_aware,logistic
H,0.5,0.6000000000000001,1422,0.5461449619009384,0.5970464135021097,model,market_aware,logistic
H,0.6000000000000001,0.7000000000000001,1062,0.6477143765781491,0.6468926553672316,model,market_aware,logistic
H,0.7000000000000001,0.8,563,0.7405176676441168,0.7406749555950266,model,market_aware,logistic
H,0.8,0.9,21,0.8098401153965201,0.7619047619047619,model,market_aware,logistic
D,0.0,0.1,6,0.09393348093057567,0.3333333333333333,model,market_aware,logistic
D,0.1,0.2,1455,0.17432229843019054,0.19037800687285222,model,market_aware,logistic
D,0.2,0.30000000000000004,5925,0.24783094303736478,0.25721518987341774,model,market_aware,logistic
D,0.30000000000000004,0.4,1374,0.3309527171605277,0.3042212518195051,model,market_aware,logistic
D,0.4,0.5,61,0.4221212422253609,0.3442622950819672,model,market_aware,logistic
D,0.5,0.6000000000000001,3,0.5204050823556228,0.0,model,market_aware,logistic
A,0.0,0.1,509,0.07242800715886691,0.10216110019646366,model,market_aware,logistic
A,0.1,0.2,1899,0.15155695999940624,0.14955239599789363,model,market_aware,logistic
A,0.2,0.30000000000000004,2138,0.25080247655693866,0.22404115996258187,model,market_aware,logistic
A,0.30000000000000004,0.4,1635,0.34551955094219355,0.3596330275229358,model,market_aware,logistic
A,0.4,0.5,1031,0.44706271239650847,0.478176527643065,model,market_aware,logistic
A,0.5,0.6000000000000001,853,0.5479544297534567,0.5193434935521688,model,market_aware,logistic
A,0.6000000000000001,0.7000000000000001,566,0.644750752656865,0.588339222614841,model,market_aware,logistic
A,0.7000000000000001,0.8,191,0.7304914435165919,0.7486910994764397,model,market_aware,logistic
A,0.8,0.9,2,0.8164162905164392,1.0,model,market_aware,logistic
H,0.0,0.1,157,0.0786259111656077,0.07643312101910828,market,market_aware,logistic
H,0.1,0.2,843,0.1572702098241628,0.13997627520759193,market,market_aware,logistic
H,0.2,0.30000000000000004,1336,0.25398829605904644,0.22080838323353294,market,market_aware,logistic
H,0.30000000000000004,0.4,1635,0.35036784710620505,0.3321100917431193,market,market_aware,logistic
H,0.4,0.5,1629,0.44779421096180205,0.4358502148557397,market,market_aware,logistic
H,0.5,0.6000000000000001,1345,0.5491517274711863,0.5509293680297398,market,market_aware,logistic
H,0.6000000000000001,0.7000000000000001,926,0.6482330037179397,0.6695464362850972,market,market_aware,logistic
H,0.7000000000000001,0.8,637,0.7436054839375398,0.7346938775510204,market,market_aware,logistic
H,0.8,0.9,297,0.839551487189047,0.8148148148148148,market,market_aware,logistic
H,0.9,1.0,19,0.9123911098482692,0.8421052631578947,market,market_aware,logistic
D,0.0,0.1,120,0.08435295687873365,0.058333333333333334,market,market_aware,logistic
D,0.1,0.2,1445,0.16283283864862896,0.17162629757785466,market,market_aware,logistic
D,0.2,0.30000000000000004,6057,0.25909141648528555,0.26432227175169226,market,market_aware,logistic
D,0.30000000000000004,0.4,1201,0.3150239871944453,0.3205661948376353,market,market_aware,logistic
D,0.4,0.5,1,0.4185511252819258,1.0,market,market_aware,logistic
A,0.0,0.1,764,0.07007543817267045,0.08115183246073299,market,market_aware,logistic
A,0.1,0.2,1888,0.15320165981306827,0.14565677966101695,market,market_aware,logistic
A,0.2,0.30000000000000004,2057,0.2502622226348036,0.2493923189110355,market,market_aware,logistic
A,0.30000000000000004,0.4,1592,0.34586993904263763,0.3435929648241206,market,market_aware,logistic
A,0.4,0.5,1125,0.44472667521165526,0.47555555555555556,market,market_aware,logistic
A,0.5,0.6000000000000001,746,0.5482759275585444,0.5656836461126006,market,market_aware,logistic
A,0.6000000000000001,0.7000000000000001,419,0.6455142818404881,0.6801909307875895,market,market_aware,logistic
A,0.7000000000000001,0.8,193,0.7435567735735952,0.7616580310880829,market,market_aware,logistic
A,0.8,0.9,40,0.8302189618417245,0.775,market,market_aware,logistic
H,0.0,0.1,14,0.08822557724063175,0.07142857142857142,model,market_blind,lightgbm
H,0.1,0.2,266,0.16425910519127507,0.16917293233082706,model,market_blind,lightgbm
H,0.2,0.30000000000000004,1034,0.2585003241087527,0.2504835589941973,model,market_blind,lightgbm
H,0.30000000000000004,0.4,2184,0.35256132176906163,0.28846153846153844,model,market_blind,lightgbm
H,0.4,0.5,2542,0.44973644478364055,0.44571203776553897,model,market_blind,lightgbm
H,0.5,0.6000000000000001,1943,0.5463956227434977,0.5681935151827071,model,market_blind,lightgbm
H,0.6000000000000001,0.7000000000000001,756,0.6363693823006659,0.701058201058201,model,market_blind,lightgbm
H,0.7000000000000001,0.8,85,0.7244828850899087,0.7411764705882353,model,market_blind,lightgbm
D,0.1,0.2,438,0.18793417244478455,0.21232876712328766,model,market_blind,lightgbm
D,0.2,0.30000000000000004,7348,0.2493292240852765,0.253946652150245,model,market_blind,lightgbm
D,0.30000000000000004,0.4,1028,0.3238003787710849,0.27431906614785995,model,market_blind,lightgbm
D,0.4,0.5,10,0.4131965976447791,0.1,model,market_blind,lightgbm
A,0.0,0.1,241,0.07198642556039585,0.07053941908713693,model,market_blind,lightgbm
A,0.1,0.2,1609,0.1582587237336292,0.16159105034182722,model,market_blind,lightgbm
A,0.2,0.30000000000000004,2374,0.2510644623298245,0.23041280539174389,model,market_blind,lightgbm
A,0.30000000000000004,0.4,2425,0.3481611311470687,0.3698969072164948,model,market_blind,lightgbm
A,0.4,0.5,1562,0.4427078632771908,0.470550576184379,model,market_blind,lightgbm
A,0.5,0.6000000000000001,525,0.539664531782907,0.5695238095238095,model,market_blind,lightgbm
A,0.6000000000000001,0.7000000000000001,86,0.6310866738040866,0.7093023255813954,model,market_blind,lightgbm
A,0.7000000000000001,0.8,2,0.7193767491427656,0.5,model,market_blind,lightgbm
H,0.0,0.1,157,0.0786259111656077,0.07643312101910828,market,market_blind,lightgbm
H,0.1,0.2,843,0.1572702098241628,0.13997627520759193,market,market_blind,lightgbm
H,0.2,0.30000000000000004,1336,0.25398829605904644,0.22080838323353294,market,market_blind,lightgbm
H,0.30000000000000004,0.4,1635,0.35036784710620505,0.3321100917431193,market,market_blind,lightgbm
H,0.4,0.5,1629,0.44779421096180205,0.4358502148557397,market,market_blind,lightgbm
H,0.5,0.6000000000000001,1345,0.5491517274711863,0.5509293680297398,market,market_blind,lightgbm
H,0.6000000000000001,0.7000000000000001,926,0.6482330037179397,0.6695464362850972,market,market_blind,lightgbm
H,0.7000000000000001,0.8,637,0.7436054839375398,0.7346938775510204,market,market_blind,lightgbm
H,0.8,0.9,297,0.839551487189047,0.8148148148148148,market,market_blind,lightgbm
H,0.9,1.0,19,0.9123911098482692,0.8421052631578947,market,market_blind,lightgbm
D,0.0,0.1,120,0.08435295687873365,0.058333333333333334,market,market_blind,lightgbm
D,0.1,0.2,1445,0.16283283864862896,0.17162629757785466,market,market_blind,lightgbm
D,0.2,0.30000000000000004,6057,0.25909141648528555,0.26432227175169226,market,market_blind,lightgbm
D,0.30000000000000004,0.4,1201,0.3150239871944453,0.3205661948376353,market,market_blind,lightgbm
D,0.4,0.5,1,0.4185511252819258,1.0,market,market_blind,lightgbm
A,0.0,0.1,764,0.07007543817267045,0.08115183246073299,market,market_blind,lightgbm
A,0.1,0.2,1888,0.15320165981306827,0.14565677966101695,market,market_blind,lightgbm
A,0.2,0.30000000000000004,2057,0.2502622226348036,0.2493923189110355,market,market_blind,lightgbm
A,0.30000000000000004,0.4,1592,0.34586993904263763,0.3435929648241206,market,market_blind,lightgbm
A,0.4,0.5,1125,0.44472667521165526,0.47555555555555556,market,market_blind,lightgbm
A,0.5,0.6000000000000001,746,0.5482759275585444,0.5656836461126006,market,market_blind,lightgbm
A,0.6000000000000001,0.7000000000000001,419,0.6455142818404881,0.6801909307875895,market,market_blind,lightgbm
A,0.7000000000000001,0.8,193,0.7435567735735952,0.7616580310880829,market,market_blind,lightgbm
A,0.8,0.9,40,0.8302189618417245,0.775,market,market_blind,lightgbm
H,0.0,0.1,178,0.07944177284205312,0.10674157303370786,model,market_blind,logistic
H,0.1,0.2,814,0.1539561796248728,0.20024570024570024,model,market_blind,logistic
H,0.2,0.30000000000000004,1287,0.25002966477505895,0.2634032634032634,model,market_blind,logistic
H,0.30000000000000004,0.4,1542,0.35203107363554864,0.324254215304799,model,market_blind,logistic
H,0.4,0.5,2160,0.4494852323017006,0.44166666666666665,model,market_blind,logistic
H,0.5,0.6000000000000001,1473,0.5447637959038065,0.5784114052953157,model,market_blind,logistic
H,0.6000000000000001,0.7000000000000001,990,0.6450985828291246,0.6737373737373737,model,market_blind,logistic
H,0.7000000000000001,0.8,377,0.7291834583606706,0.7108753315649867,model,market_blind,logistic
H,0.8,0.9,3,0.8069261673053196,1.0,model,market_blind,logistic
D,0.1,0.2,332,0.18908509966905285,0.19578313253012047,model,market_blind,logistic
D,0.2,0.30000000000000004,7787,0.2463266676168047,0.2522152305123925,model,market_blind,logistic
D,0.30000000000000004,0.4,701,0.32273765348353806,0.30099857346647646,model,market_blind,logistic
D,0.4,0.5,4,0.4307584329144651,0.5,model,market_blind,logistic
