trial,mean_wf_log_loss,num_leaves,learning_rate,n_estimators,min_child_samples,subsample,colsample_bytree,reg_lambda
22,0.9960541310941895,19,0.021822204959584472,443,80,0.616645669544757,0.7975963276978075,1.6493060616639266
23,1.0005141517684621,35,0.03023338644124656,455,23,0.8350578288710848,0.6682371874147545,4.625600591883986
3,1.0007712866239409,55,0.018934415854584545,537,86,0.8526657596488258,0.9032350960341495,1.772629840649342
15,1.0010258859217505,53,0.033376208787078546,300,16,0.6360191443102566,0.88894374023858,2.3093861512569367
20,1.001338424457639,21,0.03833087107133224,355,77,0.8316878275767584,0.6707091131756927,4.283071420461877
9,1.0043956563746401,33,0.03798714834651516,513,15,0.9147697510008553,0.8659403426368129,3.5258268931316756
12,1.0048991396816314,19,0.0525530137287657,402,66,0.774686955692945,0.6858338691278116,2.042643218623181
13,1.0054952366461967,16,0.12947643025754324,165,35,0.6233210966756264,0.7125535568087986,1.467968788833418
17,1.0071500825701727,22,0.05221169248070271,458,69,0.7447250442213562,0.6350599677264404,0.5900295106025766
5,1.007874855319686,53,0.03160052888945669,485,73,0.8979048623631268,0.987003892973684,1.6291267906907598
0,1.0079336785179371,19,0.07144298156528732,499,52,0.8789472116237456,0.6376709391550598,4.878111758183779
14,1.0103591578864728,36,0.08798450132777895,448,58,0.865725416130955,0.7625547445760282,4.070101923330173
16,1.0107058180234403,50,0.08014626851447089,222,95,0.8785281500310944,0.7784625102296123,1.9051061304824124
6,1.0107230637795408,59,0.0757378135786131,317,83,0.6519686021341886,0.7902819704903735,1.1345467452544207
24,1.0109023050373844,63,0.058561772634877184,412,67,0.6091215484118789,0.9834236852965781,2.4115171847145014
10,1.0109965276987307,28,0.07424820857536758,502,58,0.655918799251063,0.6458120294143893,3.3420148089523583
2,1.0118366388351832,23,0.10014111681129302,567,49,0.7773656795309325,0.6908954887139107,2.772923935079174
11,1.0129095981456824,42,0.07595346886003854,535,63,0.9059995429664103,0.8538873280002364,2.767897003289979
7,1.0129645194703618,24,0.10377395925555144,574,52,0.933071278423135,0.8801060408008996,1.5618332069102054
21,1.0144958957299766,29,0.1161927341769294,372,76,0.7728372159100415,0.8509235362809773,2.920489844563678
19,1.014877972330608,49,0.11036462648225936,505,53,0.7088966247380636,0.6385563848613997,4.513011982719208
4,1.0159976057483955,18,0.13503695698510768,587,73,0.677855483140787,0.7866884014908136,0.21901882893614388
1,1.01634670498072,57,0.1165595582786494,473,82,0.6512454530702183,0.7801543751582268,1.8539901211629062
18,1.0167779248734619,31,0.13720129669906497,583,57,0.7063479845838079,0.9876705509390895,3.893754519828973
8,1.0168105213418683,52,0.12266701004955224,525,87,0.7153312415720976,0.8729982015899902,0.698762418046549
