track,model,league,season,n,model_log_loss,market_log_loss,logloss_gap
market_aware,lightgbm,D1,2020,301,1.0470071079319037,0.9867920050874408,0.06021510284446285
market_aware,lightgbm,D1,2021,296,1.0253902611032266,0.9913772538251243,0.0340130072781023
market_aware,lightgbm,D1,2022,306,1.0205657152843728,0.9967171965434491,0.02384851874092364
market_aware,lightgbm,D1,2023,296,0.9952231906603286,0.9504037422792101,0.04481944838111851
market_aware,lightgbm,D1,2024,296,1.017026645236148,0.9885142693896479,0.028512375846500126
market_aware,lightgbm,E0,2020,370,1.0447629049087175,0.9984184697196262,0.04634443518909126
market_aware,lightgbm,E0,2021,375,0.9687190081181283,0.9312777496563892,0.03744125846173907
market_aware,lightgbm,E0,2022,375,0.9845411469933723,0.9649751598009977,0.019565987192374568
market_aware,lightgbm,E0,2023,375,0.9483951574409191,0.9027584121702744,0.04563674527064465
market_aware,lightgbm,E0,2024,375,0.9978343725633227,0.9673390904529885,0.030495282110334254
market_aware,lightgbm,F1,2020,371,1.0284561801346919,0.9927548503150889,0.035701329819602945
market_aware,lightgbm,F1,2021,371,1.01968296406255,1.0021961935775408,0.01748677048500924
market_aware,lightgbm,F1,2022,370,0.9995542616027716,0.9720939473436414,0.027460314259130203
market_aware,lightgbm,F1,2023,301,1.0409697856030191,1.0098303584436599,0.031139427159359245
market_aware,lightgbm,F1,2024,306,0.9689983278854614,0.9546008384014742,0.014397489483987114
market_aware,lightgbm,I1,2020,365,1.0085602173752377,0.9340552995704348,0.07450491780480295
market_aware,lightgbm,I1,2021,370,1.0128043493231567,0.981509902183398,0.03129444713975871
market_aware,lightgbm,I1,2022,370,1.0087932319339865,0.9841977357493309,0.02459549618465562
market_aware,lightgbm,I1,2023,380,1.0001926328684896,0.9632768121818599,0.036915820686629686
market_aware,lightgbm,I1,2024,375,0.9779287080055223,0.9477385106913522,0.030190197314170164
market_aware,lightgbm,SP1,2020,370,1.0379468504496632,0.9720757216952135,0.06587112875444967
market_aware,lightgbm,SP1,2021,380,1.0260036873138243,0.9890357383046481,0.036967949009176215
market_aware,lightgbm,SP1,2022,375,0.9872043438199283,0.9759010693544311,0.01130327446549717
market_aware,lightgbm,SP1,2023,375,0.9891615520505882,0.951939082342038,0.037222469708550254
market_aware,lightgbm,SP1,2024,380,0.9939897411909033,0.945829209358185,0.04816053183271829
market_aware,lightgbm_tuned,D1,2020,301,1.0509290965380411,0.9867920050874408,0.06413709145060031
market_aware,lightgbm_tuned,D1,2021,296,1.0245784655283394,0.9913772538251243,0.033201211703215106
market_aware,lightgbm_tuned,D1,2022,306,1.007664985211473,0.9967171965434491,0.010947788668023817
market_aware,lightgbm_tuned,D1,2023,296,0.9844952480881328,0.9504037422792101,0.03409150580892273
market_aware,lightgbm_tuned,D1,2024,296,1.0135688884976368,0.9885142693896479,0.025054619107988896
market_aware,lightgbm_tuned,E0,2020,370,1.0367256720234403,0.9984184697196262,0.038307202303814125
market_aware,lightgbm_tuned,E0,2021,375,0.9521636140170625,0.9312777496563892,0.0208858643606733
market_aware,lightgbm_tuned,E0,2022,375,0.9797279683732759,0.9649751598009977,0.014752808572278231
market_aware,lightgbm_tuned,E0,2023,375,0.9354310348237853,0.9027584121702744,0.0326726226535109
market_aware,lightgbm_tuned,E0,2024,375,0.9777700906736843,0.9673390904529885,0.010431000220695763
market_aware,lightgbm_tuned,F1,2020,371,1.0202118419783532,0.9927548503150889,0.02745699166326432
market_aware,lightgbm_tuned,F1,2021,371,1.012728073706176,1.0021961935775408,0.010531880128635152
market_aware,lightgbm_tuned,F1,2022,370,0.9893088897668608,0.9720939473436414,0.017214942423219415
