trial,mean_wf_log_loss,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda
22,0.9920295290033879,2,0.021822204959584472,443,16,0.616645669544757,0.7975963276978075,1.6493060616639266
20,0.9941084456436379,2,0.03833087107133224,355,15,0.8316878275767584,0.6707091131756927,4.283071420461877
12,0.9968230812371907,2,0.0525530137287657,402,13,0.774686955692945,0.6858338691278116,2.042643218623181
13,0.9998194687662032,2,0.12947643025754324,165,5,0.6233210966756264,0.7125535568087986,1.467968788833418
23,1.000130962511606,4,0.03023338644124656,455,3,0.8350578288710848,0.6682371874147545,4.625600591883986
0,1.0011569984848128,2,0.07144298156528732,499,9,0.8789472116237456,0.6376709391550598,4.878111758183779
15,1.0035628487322428,7,0.033376208787078546,300,1,0.6360191443102566,0.88894374023858,2.3093861512569367
9,1.0036114794375586,4,0.03798714834651516,513,1,0.9147697510008553,0.8659403426368129,3.5258268931316756
3,1.004107986388367,7,0.018934415854584545,537,17,0.8526657596488258,0.9032350960341495,1.772629840649342
17,1.0044706363896172,3,0.05221169248070271,458,13,0.7447250442213562,0.6350599677264404,0.5900295106025766
5,1.0078557723197912,7,0.03160052888945669,485,14,0.8979048623631268,0.987003892973684,1.6291267906907598
10,1.0107123869467125,3,0.07424820857536758,502,11,0.655918799251063,0.6458120294143893,3.3420148089523583
16,1.0118219153724974,7,0.08014626851447089,222,19,0.8785281500310944,0.7784625102296123,1.9051061304824124
24,1.0148178491636712,8,0.058561772634877184,412,13,0.6091215484118789,0.9834236852965781,2.4115171847145014
11,1.0152578376170578,5,0.07595346886003854,535,12,0.9059995429664103,0.8538873280002364,2.767897003289979
2,1.0154483101555551,3,0.10014111681129302,567,9,0.7773656795309325,0.6908954887139107,2.772923935079174
14,1.0160923009269254,5,0.08798450132777895,448,11,0.865725416130955,0.7625547445760282,4.070101923330173
6,1.0162104412526414,8,0.0757378135786131,317,16,0.6519686021341886,0.7902819704903735,1.1345467452544207
4,1.016269756356755,2,0.13503695698510768,587,14,0.677855483140787,0.7866884014908136,0.21901882893614388
7,1.0172122086251294,3,0.10377395925555144,574,9,0.933071278423135,0.8801060408008996,1.5618332069102054
21,1.018301865660224,4,0.1161927341769294,372,15,0.7728372159100415,0.8509235362809773,2.920489844563678
19,1.0196517911393121,6,0.11036462648225936,505,9,0.7088966247380636,0.6385563848613997,4.513011982719208
8,1.024723495363083,7,0.12266701004955224,525,17,0.7153312415720976,0.8729982015899902,0.698762418046549
18,1.0248851763796307,4,0.13720129669906497,583,10,0.7063479845838079,0.9876705509390895,3.893754519828973
1,1.0254112773490207,8,0.1165595582786494,473,16,0.6512454530702183,0.7801543751582268,1.8539901211629062
