track,model,season,n,model_log_loss,market_log_loss,logloss_gap,model_ece
market_aware,lightgbm,2020,1777,1.0314040696518456,0.9765613270483494,0.0548427426034962,0.014153066132397684
market_aware,lightgbm,2021,1792,1.0170587504471338,0.9785066157557333,0.03855213469140051,0.031978284648547295
market_aware,lightgbm,2022,1796,1.00091969094174,0.9780912977839538,0.022828393157786175,0.04032774175607102
market_aware,lightgbm,2023,1727,0.9965263105328259,0.9535814676765557,0.042944842856270204,0.02178701237963948
market_aware,lightgbm,2024,1732,0.9885764408340733,0.9597443881497837,0.028832052684289566,0.025037193713512606
market_aware,lightgbm,2025,1727,1.0007685372147694,0.9783680228797793,0.02240051433499013,0.03394765363771762
market_aware,logistic,2020,1777,1.060952872201326,0.9765613270483494,0.08439154515297653,0.07682505000569777
market_aware,logistic,2021,1792,0.9903204249173194,0.9785066157557333,0.011813809161586142,0.020856545359316747
market_aware,logistic,2022,1796,0.9856909002819505,0.9780912977839538,0.007599602497996738,0.028151076980381613
market_aware,logistic,2023,1727,0.9614607505754684,0.9535814676765557,0.00787928289891271,0.022475798123191105
market_aware,logistic,2024,1732,0.9733376731808208,0.9597443881497837,0.013593285031037072,0.028844545645377213
market_aware,logistic,2025,1727,0.9856931766571819,0.9783680228797793,0.007325153777402615,0.03139593093486097
market_blind,lightgbm,2020,1777,1.0521134099965062,0.9765613270483494,0.07555208294815674,0.02037239668245633
market_blind,lightgbm,2021,1792,1.0281571102653824,0.9785066157557333,0.04965049450964909,0.03933035171256558
market_blind,lightgbm,2022,1796,1.0059063835840047,0.9780912977839538,0.027815085800050987,0.03416937464877068
market_blind,lightgbm,2023,1727,1.0065588531580834,0.9535814676765557,0.05297738548152764,0.021136980150351262
market_blind,lightgbm,2024,1732,1.002940282969049,0.9597443881497837,0.043195894819265335,0.02458060788966144
market_blind,lightgbm,2025,1727,1.0142907899529126,0.9783680228797793,0.035922767073133244,0.02737393692392477
market_blind,logistic,2020,1777,1.0680855246563299,0.9765613270483494,0.09152419760798047,0.07674988074511208
market_blind,logistic,2021,1792,1.0098141570917947,0.9785066157557333,0.031307541336061395,0.012201604754964119
market_blind,logistic,2022,1796,0.9934207619039536,0.9780912977839538,0.015329464119999803,0.02787170287620265
market_blind,logistic,2023,1727,0.9800294368730196,0.9535814676765557,0.02644796919646386,0.018859520931963362
market_blind,logistic,2024,1732,0.9878375169858489,0.9597443881497837,0.028093128836065184,0.012670184206375142
market_blind,logistic,2025,1727,0.9964072609270614,0.9783680228797793,0.018039238047282136,0.027691023410812976
