season,feature,ks_statistic,ks_p_value,psi,drifted
2020,home_elo,0.07201203076577842,1.2726239675656119e-05,0.05259629869354561,False
2020,home_points_r5,0.023655693260701095,0.532240997245614,0.007429501895009727,False
2020,home_points_r10,0.04385934641661945,0.027880683826784925,0.013763780353798466,False
2020,home_goals_for_r5,0.032944223762501966,0.1612282631153908,0.00595799054063954,False
2020,home_goals_for_r10,0.039724494888981894,0.05989825540047868,0.012660017519871116,False
2020,home_goals_against_r5,0.014329414404737157,0.969146391354496,0.0063650272917202735,False
2020,home_goals_against_r10,0.024043174574287462,0.5375653523275145,0.009566438323190792,False
2020,home_xg_for_r5,0.0368606589958068,0.08585501734303756,0.01904081274081915,False
2020,home_xg_for_r10,0.05791818862349042,0.001177709515195099,0.03648793303860918,False
2020,home_xg_against_r5,0.05426734706480453,0.0022199518800080464,0.03279959131396154,False
2020,home_xg_against_r10,0.061410102355311524,0.0004687733806078945,0.024670385129207474,False
2020,away_elo,0.0667890154028941,6.759871181449224e-05,0.049493823846667,False
2020,away_points_r5,0.019432226483166757,0.7695408563860623,0.010764919965796843,False
2020,away_points_r10,0.029220527597959494,0.2974651249638603,0.01641398970286211,False
2020,away_goals_for_r5,0.016085321717741467,0.9218867032792577,0.0032493578504685992,False
2020,away_goals_for_r10,0.02732110536787777,0.375999143712426,0.011566863739795536,False
2020,away_goals_against_r5,0.035308105719745436,0.11115960486211553,0.013185094893387482,False
2020,away_goals_against_r10,0.01619108636012682,0.9295081975640611,0.00436881885613751,False
2020,away_xg_for_r5,0.057881099642608326,0.0008727869908290813,0.03216458882170548,False
2020,away_xg_for_r10,0.07506563810285831,7.727154888388408e-06,0.04859426027344267,False
2020,away_xg_against_r5,0.03365813733616649,0.1444961946071936,0.005715027777156885,False
2020,away_xg_against_r10,0.05028076777012121,0.007371653868782608,0.023939536839409446,False
2020,elo_diff,0.02002315348359034,0.7372002921287582,0.006756538963842059,False
2020,rest_diff,0.033906371904787166,0.13901391450062595,0.021205594313812415,False
2020,points_diff_r5,0.03367605475772776,0.14409298749403984,0.007014575535667775,False
2020,xg_diff_r5,0.047519437358171865,0.010801363971178616,0.017606693430580293,False
2020,goal_diff_r5,0.03413025269652845,0.13422529016084092,0.005922965673755019,False
2020,xg_overperformance_r5,0.02066504945991151,0.7011679906113404,0.009178255843068228,False
2020,points_diff_r10,0.02658753892306524,0.4170300143922221,0.008680056098160981,False
2020,xg_diff_r10,0.028389312928786613,0.33726679340236576,0.004156383956665214,False
2020,goal_diff_r10,0.03657185894027999,0.10601126094205304,0.010614957107567182,False
2020,xg_overperformance_r10,0.023953111946533,0.5508711969878283,0.010850708835602145,False
2021,home_elo,0.06487428240229631,0.00011462805980177151,0.04546270132258101,False
2021,home_points_r5,0.01785438286597483,0.8473529772842205,0.008534350842308833,False
2021,home_points_r10,0.021231158794391445,0.6888739462851581,0.0028781170992349617,False
2021,home_goals_for_r5,0.021563810995804813,0.6466289357788448,0.004807281020030768,False
